column,table,rule,reason,detail,action
cogng_demog_slope,cross-sectional-data-gk,cross_visit_derived,computed FROM the whole trajectory -- contains future visits by construction,random slope of cogn_global from an LME fitted over the participant's ENTIRE follow-up; alone it reaches out-of-fold AUC 0.809 on y_ad_next,EXCLUDE from the input sequence
age_first_ad_dx,cross-sectional-data-gk,outcome,this is the label (or a deterministic function of it),"the label; may only be used to BUILD targets, never as a feature",EXCLUDE from the input sequence
died,cross-sectional-data-gk,future,only determined at/after death or at the end of follow-up,vital status at the data freeze -- known only in the future of every visit,EXCLUDE from the input sequence
braaksc,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"Braak NFT stage 0-6, ascending severity; AUTOPSY ONLY",EXCLUDE from the input sequence
ceradsc,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,CERAD 1 definite / 2 probable / 3 possible / 4 no AD -- REVERSE coded; AUTOPSY ONLY,EXCLUDE from the input sequence
gpath,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"global AD pathology burden, 3 measures x 5 regions; AUTOPSY ONLY",EXCLUDE from the input sequence
amylsqrt_est_8reg,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"sqrt amyloid density, 8 regions; AUTOPSY ONLY",EXCLUDE from the input sequence
tangsqrt_est_8reg,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"sqrt tangle density, 8 regions; AUTOPSY ONLY",EXCLUDE from the input sequence
tdp_st4,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,TDP-43 stage; AUTOPSY ONLY,EXCLUDE from the input sequence
lewydx_st4,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,Lewy body disease stage; AUTOPSY ONLY,EXCLUDE from the input sequence
arteriol_scler,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,arteriolosclerosis grade; AUTOPSY ONLY,EXCLUDE from the input sequence
caa_4gp,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"cerebral amyloid angiopathy, 4 groups; AUTOPSY ONLY",EXCLUDE from the input sequence
cvda_4gp2,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,"cerebral atherosclerosis, 4 groups; AUTOPSY ONLY",EXCLUDE from the input sequence
ci_num2_mct,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,>=1 chronic microinfarct; AUTOPSY ONLY,EXCLUDE from the input sequence
ci_num2_tct,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,>=1 chronic infarct; AUTOPSY ONLY,EXCLUDE from the input sequence
pmi,cross-sectional-data-gk,autopsy,exists only for decedents; its presence alone reveals death,post-mortem interval -- a non-null value IS a death indicator,EXCLUDE from the input sequence
age_death,ROSMAP_clinical,future,only determined at/after death or at the end of follow-up,"age at death -- DE-IDENTIFIED, top coded as the string '90+'",EXCLUDE from the input sequence
age_at_visit_max,ROSMAP_clinical,future,only determined at/after death or at the end of follow-up,"age at last visit -- DE-IDENTIFIED, top coded as the string '90+'",EXCLUDE from the input sequence
cogdx,ROSMAP_clinical,future,only determined at/after death or at the end of follow-up,"FINAL consensus diagnosis, assigned once at the end (autopsy-informed for decedents)",EXCLUDE from the input sequence
dcfdx_lv,ROSMAP_clinical,future,only determined at/after death or at the end of follow-up,'last valid' diagnosis -- a single value pinned to the END of the trajectory,EXCLUDE from the input sequence
cts_mmse30_lv,ROSMAP_clinical,future,only determined at/after death or at the end of follow-up,MMSE at the LAST valid cycle,EXCLUDE from the input sequence
cts_mmse30_first_ad_dx,ROSMAP_clinical,outcome,this is the label (or a deterministic function of it),MMSE at the AD-diagnosis cycle -- defined by the label,EXCLUDE from the input sequence
individualID,ROSMAP_clinical,id,identifier; re-identification risk and no signal,Synapse identifier,EXCLUDE from the input sequence
projid,all,id,identifier; re-identification risk and no signal,keep for grouping/splitting only; must not be embedded as a feature,EXCLUDE from the input sequence
cts_estmmse30,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
cogn_global,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
bmi,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
sbp_avg,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
dbp_avg,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
psqi_sum,longitudinal_data_gk,cotemporal,"measured at the SAME visit as the token being predicted -- needs the attention mask, not deletion",legitimate as history; the leak is only WITHIN a visit,"KEEP, but mask同一 (projid, fu_year) 内的其他 token"
